Platform,Type,Owned,ForSale,Wishlist,Title,Publisher,Developer,DateAdded,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Beat,PlayedCompletion,Notes
"NES","VideoGame",1,0,0,"10-Yard Fight","Nintendo","Nintendo","09/12/2020","Loose+","1.43","39","390.99","7.25","8",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"720 Degrees","Mindscape, Inc.","Atari Games","07/24/2021","CIB","6","22.22","75.99","22.22","25",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Adventures of Tom Sawyer","SETA Corporation","WinkySoft","01/06/2020","Loose","10.4","44.34","202.5","10.4","8",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Anticipation","Nintendo","Rare, Ltd.","07/25/2021","Loose","1.75","14.87","29.65","1.75","?",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Arkanoid","Romstar Incorporated","Taito Corporation","06/11/2021","Loose","14.71","134.29","224.23","14.71","13.99",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Back to the Future","LJN","Software Images","01/06/2020","Loose","9.25","58.82","193.62","9.25","8",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Bad Dudes","Namco","Data East Corporation","02/29/2020","Loose","9.91","42.24","95","9.91","7",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Baseball","Nintendo","Nintendo","04/05/2021","Loose","5.75","47.14","819.45","5.75","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Baseball Stars","SNK","SNK","03/06/2020","Loose","13.44","44.99","496.24","13.44","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Blaster Master","Sun Corporation of America","Sunsoft","07/24/2021","Loose","8.99","53.9","228.01","8.99","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Bubble Bobble","Taito Corporation","Taito Corporation","02/19/2019","Loose","16.78","83.85","387.82","16.78","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"BurgerTime","Data East Corporation","Data East Corporation","02/19/2019","Loose","9.57","42.43","242.13","9.57","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"California Games","Milton Bradley Co.","Rare, Ltd.","02/19/2019","Loose","8.23","29.95","102.48","8.23","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Castlevania III: Dracula's Curse","Konami","Konami","02/19/2019","Loose","43.48","156.44","904.28","43.48","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Commando","Capcom","Capcom","08/01/2020","Loose","8","34.92","275","8","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Contra","Konami","Konami","03/05/2020","Loose","31.75","154.36","1,995.71","31.75","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Dr. Mario","Nintendo","Nintendo R&D1","02/19/2019","Loose","5.5","27.4","562.5","5.5","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Excitebike","Nintendo","Nintendo R&D1","05/25/2019","Loose","8.5","70.32","962.99","8.5","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Fantasy Zone","Tengen","JoWood Productions","09/12/2020","Loose","35.99","40.43","81.69","35.99","8",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Galaga: Demons of Death","Bandai America, Inc.","Namco","02/08/2020","Loose","14.89","34.95","133.45","14.89","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Gauntlet","Tengen","Tengen","08/28/2021","Loose","7.36","45","316.45","7.36","11.17",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Gauntlet II","Mindscape, Inc.","Atari","06/11/2021","Loose","10.37","32.17","155.35","10.37","9.99",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Golf","Nintendo","HAL Laboratory","01/29/2021","Loose","4.78","30","469.09","4.78","3.99",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Hogan's Alley","Nintendo","Nintendo R&D1","11/28/2019","Loose","6.75","44","148.75","6.75","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Ice Hockey","Nintendo","Pax Softnica","08/01/2020","Loose","6.8","27.37","161","6.8","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Jeopardy! 25th Anniversary Edition","GameTek, Inc.","GameTek, Inc.","02/19/2019","Loose","4.78","14.3","39.92","4.78","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"John Elway's Quarterback","Tradewest, Inc.","Rare, Ltd.","02/19/2019","Loose","0.99","10.81","23.28","0.99","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Kirby's Adventure","Nintendo","HAL Laboratory","02/19/2019","Loose","25.87","70","365.22","25.87","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Kung Fu","Nintendo","Nintendo","08/07/2020","Loose","11.75","51.88","299","11.75","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Life Force","Konami","Konami","03/31/2020","Loose","13.5","75.56","204.73","13.5","17",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Little Nemo: The Dream Master","Capcom","Capcom","02/19/2019","Loose","13.51","64.91","194.68","13.51","-1.0",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Lunar Pool","FCI","Compile","01/29/2021","Loose","3.66","19.79","130.45","3.66","7.99",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Marble Madness","Milton Bradley Co.","Rare, Ltd.","08/13/2021","Loose","7.48","38","102.17","7.48","9.7",?,?,?,No, 0%,""
"NES","VideoGame",1,0,0,"Metroid [Yellow Label]","Nintendo","Nintendo R&D1","07/24/2021","Loose","30","122.5","248.81","30","-1.0",?,?,?,No, 0%,""
